Place_Name,City,Category,Price,Rating,Jumlah_Review,Time_Minutes,U_Price,U_Rating,U_Jumlah_Review,U_Time_Minutes,SMART_Score,SMART_Rank
Monumen Jalesveva Jayamahe,Surabaya,Budaya,0,4.6,22,15.0,100.0,0.0,40.0,0.0,38.0,39
Semarang Contemporary Art Gallery,Semarang,Budaya,10000,4.6,19,90.0,96.3,0.0,28.0,21.74,37.7498,40
Museum Konferensi Asia Afrika,Bandung,Budaya,0,4.6,19,60.0,100.0,0.0,28.0,13.04,37.5565,41
Curug Cimahi,Bandung,Cagar Alam,15000,4.6,21,30.0,94.44,0.0,36.0,4.35,36.1855,42
Alun-alun Utara Keraton Yogyakarta,Yogyakarta,Budaya,0,4.6,17,60.0,100.0,0.0,20.0,13.04,35.9565,43
Museum De Javasche Bank,Surabaya,Budaya,5000,4.6,17,60.0,98.15,0.0,20.0,13.04,35.401,44
Bendung Lepen,Yogyakarta,Taman Hiburan,0,4.6,16,60.0,100.0,0.0,16.0,13.04,35.1565,45
Museum Ullen Sentalu,Yogyakarta,Budaya,100000,4.7,12,120.0,62.96,33.33,0.0,30.43,35.1208,46
Candi Ratu Boko,Yogyakarta,Budaya,75000,4.6,24,90.0,72.22,0.0,48.0,21.74,34.5275,47
Monumen Nasional,Jakarta,Budaya,20000,4.6,18,15.0,92.59,0.0,24.0,0.0,32.5778,48
Kidzania,Jakarta,Taman Hiburan,185000,4.6,21,300.0,31.48,0.0,36.0,82.61,29.0357,49
Dunia Fantasi,Jakarta,Taman Hiburan,270000,4.6,19,360.0,0.0,0.0,28.0,100.0,20.6,50
